y0,y1,x0,x1,n,median,scatter,slope,score
300,330,36,44,21,0.2963,0.4225,-1.1003,0.9507
300,330,42,50,21,0.4093,0.5460,-1.6378,0.9339
315,345,6,14,21,0.2967,0.2724,-0.2984,0.8001
315,345,12,20,21,0.2642,0.2619,-0.3024,0.8400
315,345,18,26,21,0.2356,0.3349,-0.7866,0.9627
315,345,24,32,21,0.2328,0.3834,-0.9931,1.0164
315,345,30,38,21,0.2144,0.4136,-1.1007,1.0824
315,345,36,44,21,0.2602,0.4381,-1.3008,1.0228
315,345,42,50,21,0.3635,0.5553,-1.7742,0.9947
330,360,6,14,21,0.2106,0.3664,-0.9204,1.0429
330,360,12,20,21,0.2013,0.3873,-1.0079,1.0836
330,360,18,26,21,0.1926,0.4247,-1.1515,1.1401
330,360,24,32,21,0.1571,0.4488,-1.2874,1.2526
330,360,30,38,20,0.1972,0.4294,-1.2868,1.1345
330,360,36,44,21,0.2531,0.4446,-1.3971,1.0413
330,360,42,50,21,0.2029,0.4984,-1.5508,1.1910
345,375,6,14,21,0.2044,0.4493,-1.0508,1.1388
345,375,12,20,21,0.2178,0.4748,-1.2149,1.1368
345,375,18,26,21,0.1507,0.4904,-1.1450,1.3122
345,375,24,32,21,0.1447,0.4071,-0.9356,1.2466
345,375,30,38,21,0.1832,0.4098,-1.3229,1.1468
345,375,36,44,21,0.2388,0.4027,-1.1370,1.0246
345,375,42,50,21,0.2065,0.4452,-1.2232,1.1303
360,390,6,14,21,0.2591,0.6214,-1.5220,1.2080
360,390,12,20,21,0.1640,0.5532,-1.3519,1.3383
360,390,18,26,21,0.1147,0.4770,-0.9800,1.4174
360,390,24,32,21,0.1309,0.4641,-0.6706,1.3471
360,390,30,38,21,0.2050,0.3827,-1.2077,1.0710
360,390,36,44,21,0.1916,0.3596,-0.9332,1.0772
360,390,42,50,21,0.1649,0.4162,-1.0382,1.1990
375,405,6,14,21,0.1355,0.6097,-1.5954,1.4778
375,405,12,20,21,0.1102,0.5501,-1.3359,1.5080
375,405,18,26,21,0.1214,0.5035,-0.9838,1.4194
375,405,24,32,21,0.1857,0.4318,-1.0935,1.1629
375,405,30,38,21,0.2248,0.3838,-1.1259,1.0320
375,405,36,44,20,0.1873,0.3431,-1.0052,1.0706
375,405,42,50,21,0.1721,0.3959,-0.8682,1.1601
390,420,6,14,21,0.1079,0.5878,-1.5931,1.5546
390,420,12,20,21,0.1112,0.5305,-1.4016,1.4843
390,420,18,26,21,0.1038,0.4995,-1.3347,1.4834
390,420,24,32,20,0.1862,0.4220,-1.3365,1.1519
390,420,30,38,21,0.2658,0.3501,-0.8096,0.9256
390,420,36,44,21,0.2175,0.3331,-0.7697,0.9956
390,420,42,50,21,0.1875,0.3809,-0.8098,1.1080
