y0,y1,x0,x1,Si_VII_275.368,Fe_IX_188.497,Fe_IX_197.862,Fe_X_184.536,Fe_XI_180.401,Fe_XI_188.216,S_X_264.233,Si_X_258.375,Fe_XII_192.394,Fe_XII_195.119,Fe_XIII_202.044,Fe_XIII_203.826,Fe_XIV_264.787,Fe_XIV_270.519,Fe_XV_284.160,S_XIII_256.686,Fe_XVI_262.984,Ar_XIV_194.396,Ca_XIV_193.874,Ca_XV_200.972,Ca_XVI_208.604,Ca_XVII_192.858
300,345,12,24,0.1307,0.3263,0.4394,0.5035,0.6817,0.6539,0.4277,0.3404,0.7550,0.7553,0.9818,0.5268,0.2801,0.3202,0.2729,0.2138,0.1459,0.2406,0.3972,0.3519,0.5678,2.4165
300,345,20,32,0.1832,0.2780,0.3859,0.4301,0.6023,0.5652,0.4000,0.3478,0.6214,0.6417,0.8454,0.3343,0.2243,0.2586,0.2085,0.1129,0.0813,0.0870,0.1897,0.1798,0.3529,2.1028
300,345,28,40,0.2117,0.3434,0.4717,0.4795,0.6362,0.5901,0.3922,0.3431,0.5995,0.6391,0.7982,0.2684,0.1917,0.2181,0.1717,0.0781,0.0599,0.0501,0.0689,0.1274,0.2335,2.2679
300,345,36,48,0.3240,0.5037,0.7128,0.6137,0.7459,0.6851,0.3980,0.3754,0.6341,0.6940,0.7970,0.2366,0.1732,0.1951,0.1524,0.0645,0.0550,0.0279,0.0264,0.1174,0.1947,2.6664
320,365,4,16,0.1296,0.2153,0.2972,0.3285,0.4838,0.4585,0.4181,0.2735,0.5309,0.5587,0.7873,0.2889,0.1910,0.2343,0.1861,0.1250,0.0673,0.0989,0.0966,0.0818,0.1266,1.5605
320,365,12,24,0.1335,0.2009,0.3025,0.3205,0.4518,0.4276,0.3665,0.2621,0.4779,0.5153,0.7154,0.2243,0.1719,0.2037,0.1575,0.0822,0.0463,0.0415,0.0580,0.0639,0.1320,1.4538
320,365,20,32,0.1336,0.2277,0.3292,0.3301,0.4603,0.4326,0.2993,0.2353,0.4544,0.4989,0.6679,0.1857,0.1412,0.1648,0.1348,0.0599,0.0399,0.0332,0.0298,0.0549,0.1246,1.5407
320,365,28,40,0.1589,0.2515,0.3630,0.3485,0.4770,0.4420,0.3530,0.2634,0.4315,0.4848,0.6169,0.1633,0.1501,0.1746,0.1430,0.0857,0.0532,0.0294,0.0185,0.0596,0.0937,1.6823
320,365,36,48,0.2325,0.4843,0.6789,0.5445,0.5978,0.5473,0.3890,0.3070,0.4642,0.5232,0.6056,0.1557,0.1549,0.1783,0.1469,0.0877,0.0627,0.0289,0.0141,0.0726,0.1243,2.0317
340,385,4,16,0.1563,0.2366,0.3267,0.3088,0.4178,0.3951,0.4083,0.2677,0.4253,0.4642,0.6534,0.1666,0.1475,0.1789,0.1282,0.0623,0.0322,0.0493,0.0164,0.0375,0.1313,1.3904
340,385,12,24,0.1253,0.2048,0.2946,0.2824,0.3773,0.3508,0.2935,0.1964,0.3778,0.4186,0.5922,0.1378,0.1171,0.1413,0.1109,0.0540,0.0283,0.0427,0.0096,0.0295,0.0538,1.1783
340,385,20,32,0.1035,0.1655,0.2369,0.2453,0.3390,0.3070,0.2442,0.1561,0.3204,0.3654,0.5078,0.1077,0.1051,0.1262,0.1088,0.0645,0.0326,0.0320,0.0095,0.0305,0.1790,1.0278
340,385,28,40,0.1726,0.2437,0.3510,0.3208,0.4045,0.3609,0.3462,0.2237,0.3344,0.3827,0.4913,0.1216,0.1360,0.1635,0.1410,0.1184,0.0603,0.0358,0.0143,0.0414,0.0853,1.2623
340,385,36,48,0.1687,0.4448,0.6036,0.4872,0.5168,0.4542,0.3436,0.2169,0.3722,0.4197,0.4976,0.1291,0.1384,0.1660,0.1484,0.1150,0.0679,0.0334,0.0194,0.0536,0.2228,1.5581
360,405,4,16,0.1244,0.2603,0.3491,0.3325,0.4134,0.3991,0.3457,0.2104,0.3927,0.4308,0.5751,0.1307,0.1053,0.1367,0.0956,0.0492,0.0234,0.0208,0.0030,0.0205,0.1007,1.3959
360,405,12,24,0.0839,0.1319,0.2517,0.2427,0.3076,0.2842,0.2480,0.1331,0.2845,0.3203,0.4547,0.0896,0.0785,0.1021,0.0823,0.0576,0.0210,0.0263,0.0046,0.0153,0.0580,0.9531
360,405,20,32,0.1031,0.1011,0.2029,0.2053,0.2720,0.2457,0.2761,0.1529,0.2422,0.2822,0.3980,0.0814,0.1033,0.1279,0.1031,0.0901,0.0336,0.0266,0.0073,0.0203,0.4252,0.8079
360,405,28,40,0.1558,0.2946,0.4119,0.3547,0.3827,0.3468,0.3923,0.2211,0.2958,0.3374,0.4158,0.1195,0.1626,0.1961,0.1680,0.1724,0.0782,0.0379,0.0204,0.0397,0.1536,1.1704
360,405,36,48,0.1007,0.3357,0.4559,0.3901,0.4022,0.3558,0.3499,0.1766,0.2917,0.3311,0.4198,0.1162,0.1447,0.1791,0.1621,0.1460,0.0750,0.0345,0.0273,0.0495,0.1323,1.1643
380,425,4,16,0.0629,0.2135,0.2674,0.2661,0.3202,0.3043,0.2409,0.1332,0.2841,0.3185,0.4239,0.0895,0.0709,0.0899,0.0699,0.0401,0.0193,0.0186,0.0013,0.0108,0.1101,1.0971
380,425,12,24,0.0646,0.1401,0.1862,0.1823,0.2307,0.2113,0.2364,0.1202,0.1946,0.2280,0.3170,0.0598,0.0675,0.0835,0.0683,0.0487,0.0191,0.0170,0.0023,0.0072,0.1546,0.7356
380,425,20,32,0.0769,0.1744,0.2393,0.2175,0.2795,0.2490,0.3113,0.1708,0.2292,0.2667,0.3532,0.0970,0.1213,0.1431,0.1101,0.0918,0.0386,0.0282,0.0081,0.0233,0.0000,0.8547
380,425,28,40,0.0938,0.2873,0.3858,0.3268,0.3512,0.3240,0.4775,0.2606,0.2885,0.3251,0.4104,0.1632,0.2430,0.2850,0.2172,0.2175,0.1017,0.0388,0.0285,0.0391,0.1939,1.1079
380,425,36,48,0.0605,0.2209,0.3020,0.2757,0.3033,0.2749,0.3975,0.2025,0.2502,0.2860,0.4012,0.1276,0.1995,0.2433,0.1949,0.1644,0.0871,0.0316,0.0313,0.0373,0.1801,0.8953
